,Title,Price,Image
30,Carmen Nail Spa 1945,R429,https://www.hificorp.co.za/media/catalog/product/cache/74d213abfbc037213e1c69aa712be9b2/B/Y/BY_11_Frog_Product_image__fcb0_7858.jpg
31,Carmen Facial Epilator & Brush Set 1590,R399,https://www.hificorp.co.za/media/catalog/product/cache/74d213abfbc037213e1c69aa712be9b2/B/Y/BY_11_Monkey_Product_image__50a6_9230.jpg
32,Braun Precision Trimmer PT5010,R399,https://www.hificorp.co.za/media/catalog/product/cache/74d213abfbc037213e1c69aa712be9b2/3/2/3201_d43c.jpg
33,Beurer Instant Thermometer BY 11 Dog,R369,https://www.hificorp.co.za/media/catalog/product/cache/74d213abfbc037213e1c69aa712be9b2/B/a/Baby_SCALE_3110_994e.jpg
34,Beurer Instant Thermometer BY 11 Frog,R369,https://www.hificorp.co.za/media/catalog/product/cache/74d213abfbc037213e1c69aa712be9b2/F/T/FT_09_1_Product_image_White_8533_4f15.jpg
35,Beurer Instant Thermometer BY 11 Monkey,R369,https://www.hificorp.co.za/media/catalog/product/cache/74d213abfbc037213e1c69aa712be9b2/F/T/FT_09_1_Product_image_Blue_784d_72b6.jpg
36,Elektra Body Fat/Hydration Monitor Scale 3201,R349,https://www.hificorp.co.za/media/catalog/product/cache/74d213abfbc037213e1c69aa712be9b2/4/2/4210201382683_01___Braun_Clean___Charge_Refills___2_Pack_CCR2_69ec.jpg
37,Elektra Mother Baby Scale 3110,R279,https://www.hificorp.co.za/media/catalog/product/cache/74d213abfbc037213e1c69aa712be9b2/B/o/Body_Brush_1591_e_commerce_removebg_preview_2391.jpg
38,Beurer Digital Fever Thermometer FT 09/1 White,R249,https://www.hificorp.co.za/media/catalog/product/cache/74d213abfbc037213e1c69aa712be9b2/C/D/CDGS02_6009706851071_Casa_Bathroom_Diagnostic_Glass_Scale_0aab.jpg
39,Beurer Digital Fever Thermometer FT 09/1 Blue,R249,https://www.hificorp.co.za/media/catalog/product/cache/74d213abfbc037213e1c69aa712be9b2/C/E/CEGS01_6009706851064_Casa_Bathroom_Electronic_Glass_Scale_c440.jpg
40,Braun Clean And Charge Refills 2 Pack CCR2,R239,https://www.hificorp.co.za/media/catalog/product/cache/74d213abfbc037213e1c69aa712be9b2/G/S/GS_Air_Med_Pro_400ml_Aerosol_Fogger__Image__0367.jpg
41,Carmen Body Brush 1591,R229,https://www.hificorp.co.za/media/catalog/product/cache/74d213abfbc037213e1c69aa712be9b2/G/S/GS_Air_Med_Pro_400ml_Aerosol_Sanitiser_Image__66dc.jpg
42,Casa Bathroom Diagnostic Glass Scale CDGS02,R199,https://www.hificorp.co.za/media/catalog/product/cache/74d213abfbc037213e1c69aa712be9b2/h/s/hs_lc_400ml_a_hand_sanitizer_liquid_clinic_400ml_aerosol_1_2_b54b.jpg
43,Casa Bathroom Electronic Glass Scale CEGS01,R149,https://www.hificorp.co.za/media/catalog/product/cache/74d213abfbc037213e1c69aa712be9b2/l/c/lc_hs_275ml_liquid_clinic___hand_sanitizer_275ml_aerosol__1_1_dfff.jpg
44,GS Air Med Disinfectant Aerosol Fogger 400ml,R69,https://www.hificorp.co.za/media/catalog/product/cache/74d213abfbc037213e1c69aa712be9b2/6/0/6009545451579__B__6b32.jpg
45,GS Air Med Disinfectant Aerosol Sanitiser 400ml,R69,https://www.hificorp.co.za/media/catalog/product/cache/74d213abfbc037213e1c69aa712be9b2/G/S/GS_Air_Med_Pro_120ml_Aerosol_Fogger_Image__4c94.jpg
46,Liquid Clinic Hand Sanitizer 400ml Aerosol,R60,https://www.hificorp.co.za/media/catalog/product/cache/74d213abfbc037213e1c69aa712be9b2/G/S/GS_Air_Med_Pro_120ml_Aerosol_Sanitiser_Image__7dc6.jpg
47,Liquid Clinic Hand Sanitizer 275ml Aerosol,R50,https://www.hificorp.co.za/media/catalog/product/cache/74d213abfbc037213e1c69aa712be9b2/l/c/lc_hs_120ml_liquid_clinic___hand_sanitizer_120ml_aerosol_1_1_17e1.jpg
48,Liquid Clinic Liquid Hand Sanitizer 500ml- (70% Alcohol),R50,https://www.hificorp.co.za/media/catalog/product/cache/74d213abfbc037213e1c69aa712be9b2/2/5/25ml_Liquid_Clinic_jpeg_e573.jpg
49,GS Air Med Disinfectant Aerosol Fogger 120ml,R49,
50,GS Air Med Disinfectant Aerosol Sanitiser 120ml,R49,
51,Liquid Clinic-Hand Sanitizer 120ml Aerosol,R30,
52,Liquid Clinic 20 ml Hand Sanitizer Liquid (70% Alcohol),R30,
